NAME,R,A,PER,ORBREF,ORBURL,FIRSTREF,FIRSTURL,DISCMETH,STAR,RSTAR,NCOMP,TEFF,JSNAME,EPEURL
BD +20 2457 b,0,1.4499316216,379.63,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,RV,BD +20 2457,42.7612915039,2,4137,BD20 2457,http://exoplanet.eu/star.php?st=BD20+2457
HD 89307 b,0,3.2660865784,2166,Fischer 2009 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,RV,HD 89307,1.1505074501,1,5897.7700195312,HD 89307,http://exoplanet.eu/star.php?st=HD+89307
WASP-43 b,10.424352160477634,0.0142363179,0.813475,Hellier 2011,http://adsabs.harvard.edu/abs/2011A%26A...535L...7H,Hellier 2011,http://adsabs.harvard.edu/abs/2011A%26A...535L...7H,Transit,WASP-43,0.59799999,1,4400,WASP-43,http://exoplanet.eu/star.php?st=WASP-43
gamma Leo A b,,1.1945272684,428.5,Han 2010,http://adsabs.harvard.edu/abs/2010A%26A...509A..24H,Han 2010,http://adsabs.harvard.edu/abs/2010A%26A...509A..24H,RV,gamma Leo A,42.5516586304,1,4300,gamma 1 Leo,http://exoplanet.eu/star.php?st=gamma+1+Leo
HD 89744 b,0,0.9181619883,256.78,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Korzennik 2000,http://adsabs.harvard.edu/abs/2000ApJ...533L.147K,RV,HD 89744,1.7998811007,1,6291.1801757812,HD 89744,http://exoplanet.eu/star.php?st=HD+89744
HAT-P-22 b,12.10569967027905,0.0414093956,3.21222,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Transit,HAT-P-22,1.0399999619,1,5302,HAT-P-22,http://exoplanet.eu/star.php?st=HAT-P-22
24 Sex c,,2.1229016781,910,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,RV,24 Sex,3.3824067116,2,5098,24 Sex,http://exoplanet.eu/star.php?st=24+Sex
24 Sex b,,1.3378150463,455.2,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,RV,24 Sex,3.3824067116,2,5098,24 Sex,http://exoplanet.eu/star.php?st=24+Sex
HD 90156 b,,0.2498545945,49.77,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,RV,HD 90156,0.9209606647,1,5599,HD 90156,http://exoplanet.eu/star.php?st=HD+90156
OGLE-TR-211 b,15.24421395436503,0.0512841679,3.67724,Udalski 2008,http://adsabs.harvard.edu/abs/2008A%26A...482..299U,Udalski 2008,http://adsabs.harvard.edu/abs/2008A%26A...482..299U,Transit,OGLE-TR-211,1.6399999857,1,6325,OGLE-TR-211,http://exoplanet.eu/star.php?st=OGLE-TR-211
HD 92788 b,0,0.9511415958,325.81,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F,RV,HD 92788,0.8137558103,1,5836.080078125,HD 92788,http://exoplanet.eu/star.php?st=HD+92788
HD 93083 b,0,0.4765492976,143.58,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,RV,HD 93083,1.1486287117,1,4995,HD 93083,http://exoplanet.eu/star.php?st=HD+93083
OGLE-TR-132 b,13.450777411794796,0.0303507186,1.689868,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Bouchy 2004,http://adsabs.harvard.edu/abs/2004A%26A...421L..13B,Transit,OGLE-TR-132,1.3200000525,1,6210,OGLE-TR-132,http://exoplanet.eu/star.php?st=OGLE-TR-132
OGLE-TR-113 b,12.25141654868453,0.0228945892,1.4324752,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Konacki 2004; Bouchy 2004,http://adsabs.harvard.edu/abs/2004ApJ...609L..37K ; http://adsabs.harvard.edu/abs/2004A%26A...421L..13B,Transit,OGLE-TR-113,0.773999989,1,4790,OGLE-TR-113,http://exoplanet.eu/star.php?st=OGLE-TR-113
OGLE-TR-111 b,11.780638737007573,0.0468861945,4.0161,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Pont 2004,http://adsabs.harvard.edu/abs/2004A%26A...426L..15P,Transit,OGLE-TR-111,0.8309999704,1,5040,OGLE-TR-111,http://exoplanet.eu/star.php?st=OGLE-TR-111
